pos	sentiment
1	100.0
2	100.0
3	-14.2857142857
4	-40.0
5	-33.3333333333
6	-20.0
7	-20.0
8	-66.6666666667
9	-50.0
10	100.0
11	-100.0
12	33.3333333333
13	-100.0
14	-33.3333333333
15	100.0
16	0.0
17	50.0
18	100.0
19	100.0
20	100.0
21	100.0
22	100.0
23	100.0
24	50.0
25	100.0
26	100.0
27	100.0
28	33.3333333333
29	100.0
30	100.0
31	33.3333333333
32	100.0
33	100.0
34	100.0
35	71.4285714286
36	0.0
37	100.0
38	-33.3333333333
39	100.0
40	-100.0
41	100.0
42	100.0
43	100.0
44	100.0
45	100.0
46	0.0
47	100.0
48	-66.6666666667
49	-100.0
50	100.0
51	0.0
52	100.0
53	50.0
54	-100.0
55	100.0
56	100.0
57	100.0
58	100.0
59	-11.1111111111
60	-33.3333333333
61	100.0
62	33.3333333333
63	100.0
64	0.0
65	0.0
66	100.0
67	-100.0
68	100.0
69	0.0
70	0.0
71	100.0
72	100.0
73	50.0
74	-100.0
75	100.0
76	100.0
77	-100.0
78	100.0
79	42.8571428571
80	-100.0
81	-100.0
82	100.0
83	-100.0
84	100.0
85	-33.3333333333
86	33.3333333333
87	100.0
88	100.0
89	0.0
90	100.0
91	-100.0
92	100.0
93	-100.0
94	100.0
95	100.0
96	0.0
97	100.0
98	100.0
99	100.0
100	100.0
101	0.0
102	-100.0
103	100.0
104	100.0
105	-20.0
106	100.0
107	14.2857142857
108	100.0
109	100.0
110	100.0
111	100.0
112	33.3333333333
113	0.0
114	-100.0
115	-33.3333333333
116	100.0
117	100.0
118	100.0
119	100.0
120	100.0
121	100.0
122	100.0
123	100.0
124	100.0
125	100.0
126	100.0
127	100.0
128	100.0
129	100.0
130	100.0
131	100.0
132	100.0
133	100.0
134	100.0
135	100.0
136	100.0
137	100.0
138	100.0
139	100.0
140	100.0
141	100.0
142	100.0
143	-100.0
144	100.0
145	100.0
146	50.0
147	-33.3333333333
148	100.0
149	-100.0
150	100.0
151	100.0
152	-100.0
153	100.0
154	-33.3333333333
155	100.0
156	100.0
157	100.0
158	100.0
159	100.0
160	100.0
161	100.0
162	100.0
163	0.0
164	100.0
165	100.0
166	100.0
167	100.0
168	-100.0
169	100.0
170	100.0
171	77.7777777778
172	-100.0
173	100.0
174	0.0
175	-100.0
176	-100.0
177	100.0
178	100.0
179	33.3333333333
180	33.3333333333
181	0.0
182	100.0
183	0.0
184	71.4285714286
185	50.0
186	100.0
187	77.7777777778
188	100.0
189	-33.3333333333
190	-100.0
191	66.6666666667
192	100.0
193	100.0
194	100.0
195	60.0
196	100.0
197	-33.3333333333
198	-33.3333333333
199	-100.0
200	-75.0
201	0.0
202	-100.0
203	-100.0
204	25.0
205	100.0
206	100.0
207	-50.0
208	60.0
209	33.3333333333
210	60.0
211	20.0
212	-60.0
213	33.3333333333
214	-100.0
215	0.0
216	-50.0
217	100.0
218	-100.0
219	14.2857142857
